snapshot_date,week_start,project_id,equipment_type,commissioning_level,equipment_count,total_lines,completed_lines,open_lines,completion_pct,last_synced
2026-09-08,2026-09-07,40875,FOP,L2,2,80,79,1,98.75,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FOP,L3,2,52,0,52,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FOT,L1,5,105,105,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FOT,L2,5,200,14,186,7.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FOT,L3,5,130,0,130,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FPO,L1,2,42,42,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FPO,L2,2,80,80,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FPO,L3,2,52,0,52,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FRP,L1,1,21,21,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FRP,L2,1,40,0,40,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FRP,L3,1,26,0,26,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FWU,L1,22,462,420,42,90.91,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FWU,L2,22,880,0,880,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FWU,L3,22,572,0,572,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,GDS,L1,2,40,0,40,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,GDS,L2,2,70,0,70,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,GDS,L3,2,52,0,52,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,GDT,L1,8,168,168,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,GDT,L2,8,320,320,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,GDT,L3,8,208,0,208,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,GEN,L1,8,168,168,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,GEN,L2,8,320,320,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,GEN,L3,8,208,0,208,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,GSB,L1,8,168,168,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,GSB,L2,8,320,320,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,GSB,L3,8,208,0,208,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,MBC,L1,16,336,336,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,MBC,L2,16,674,461,213,68.4,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,MBC,L3,16,416,0,416,0.0,2026-09-08T13:35:08.662975+00:00
